color,color_name,hex,R,G,B,simplified_color
tangerine_yellow,Tangerine Yellow,#fc0,255,204,0,Yellow
taupe_gray,Taupe Gray,#8b8589,139,133,137,Gray
tea_green,Tea Green,#d0f0c0,208,240,192,Green
tea_rose_orange,Tea Rose (Orange),#f88379,248,131,121,Orange
teal_blue,Teal Blue,#367588,54,117,136,Blue
teal_green,Teal Green,#00827f,0,130,127,Green
tickle_me_pink,Tickle Me Pink,#fc89ac,252,137,172,Pink
tiffany_blue,Tiffany Blue,#0abab5,10,186,181,Blue
titanium_yellow,Titanium Yellow,#eee600,238,230,0,Yellow
tractor_red,Tractor Red,#fd0e35,253,14,53,Red
true_blue,True Blue,#0073cf,0,115,207,Blue
tufts_blue,Tufts Blue,#417dc1,65,125,193,Blue
turquoise_blue,Turquoise Blue,#00ffef,0,255,239,Blue
turquoise_green,Turquoise Green,#a0d6b4,160,214,180,Green
tuscan_red,Tuscan Red,#7c4848,124,72,72,Red
tyrian_purple,Tyrian Purple,#66023c,102,2,60,Purple
ua_blue,Ua Blue,#03a,0,51,170,Blue
ua_red,Ua Red,#d9004c,217,0,76,Red
ucla_blue,Ucla Blue,#536895,83,104,149,Blue
ufo_green,Ufo Green,#3cd070,60,208,112,Green
ultramarine_blue,Ultramarine Blue,#4166f5,65,102,245,Blue
united_nations_blue,United Nations Blue,#5b92e5,91,146,229,Blue
unmellow_yellow,Unmellow Yellow,#ff6,255,255,102,Yellow
upsdell_red,Upsdell Red,#ae2029,174,32,41,Red
usafa_blue,Usafa Blue,#004f98,0,79,152,Blue
venetian_red,Venetian Red,#c80815,200,8,21,Red
violet_blue,Violet-Blue,#324ab2,50,74,178,Blue
warm_black,Warm Black,#004242,0,66,66,Black
white,White,#fff,255,255,255,White
white_smoke,White Smoke,#f5f5f5,245,245,245,White
wild_blue_yonder,Wild Blue Yonder,#a2add0,162,173,208,Blue
wood_brown,Wood Brown,#c19a6b,193,154,107,Brown
yale_blue,Yale Blue,#0f4d92,15,77,146,Blue
yellow_green,Yellow-Green,#9acd32,154,205,50,Green
yellow_munsell,Yellow (Munsell),#efcc00,239,204,0,Yellow
yellow_ncs,Yellow (Ncs),#ffd300,255,211,0,Yellow
yellow_orange,Yellow Orange,#ffae42,255,174,66,Yellow
yellow_ryb,Yellow (Ryb),#fefe33,254,254,51,Yellow
zinnwaldite_brown,Zinnwaldite Brown,#2c1608,44,22,8,Brown
